"sus","fam","inf","buil","nei","lng","lat","infFam","infBuil","infNei","invDist","infP"
2268,1074,FALSE,140,59,31,130,0,0,0,0.0820458655413023,0.49178850785861
2269,1771,FALSE,942,55,190,1,0,0,0,0.0822148334486994,0.687945472292173
2270,1312,FALSE,70,88,122,22,0,0,0,0.0876134018789789,0.493420934673804
2271,167,FALSE,569,93,194,168,0,0,0,0.0928716867430503,0.352552506403215
2272,959,FALSE,847,69,181,189,0,0,0,0.0751872333704796,0.637047041080991
2273,113,FALSE,122,150,43,131,0,0,0,0.0784816344966753,0.586249469888202
2274,677,FALSE,273,164,165,12,0,0,0,0.093774098715575,0.520060761781625
2275,1858,FALSE,262,7,167,18,0,0,0,0.0826372286016341,0.612688298932434
2276,41,FALSE,860,114,140,19,0,0,0,0.0842269252171405,0.520127328761603
2277,941,TRUE,597,100,54,104,3,16,89,0.0927109811407707,0.943992777262289
2278,666,FALSE,811,86,116,31,0,0,2,0.0848036827608235,0.684482391961043
2279,169,FALSE,469,15,112,184,0,2,4,0.083023497561333,0.670926270954675
2280,206,FALSE,218,128,95,105,0,0,0,0.0920072531624143,0.531222805383163
2281,1342,FALSE,276,125,28,46,0,0,0,0.0713088027928041,0.56250565164162
2282,109,TRUE,146,195,78,58,2,2,2,0.082479688168395,0.814200362095928
2283,1447,FALSE,353,67,143,99,0,0,0,0.0822148334486994,0.619382293284154
2284,452,FALSE,135,129,53,133,0,0,0,0.0956894153821032,0.66121262984127
2285,1478,FALSE,185,27,19,182,0,0,0,0.100927008300143,0.717624918935024
2286,631,FALSE,851,96,135,156,0,0,0,0.0884669459363567,0.522265573677037
2287,775,FALSE,275,113,146,174,0,0,0,0.0938724947466088,0.487039833833625
2288,552,FALSE,973,137,61,197,0,0,0,0.0799716815817275,0.578518725583949
2289,714,TRUE,160,44,11,45,8,8,96,0.0848036827608235,0.9999993121315
2290,225,FALSE,365,105,32,20,0,0,0,0.0882029847950071,0.625118780121485
2291,909,TRUE,47,100,54,104,5,8,89,0.0871199049055316,0.916279851534565
2292,78,FALSE,129,189,8,57,0,0,0,0.0831707975044816,0.568636311385801
2293,1266,FALSE,684,11,149,44,0,0,1,0.0702049894761971,0.570913513425347
2294,446,TRUE,508,199,6,163,7,7,108,0.0931037888945144,0.999999642654054
2295,126,TRUE,858,10,68,39,7,26,76,0.0720772130130935,0.999999869453103
2296,1222,FALSE,345,127,66,32,1,1,1,0.078833617503493,0.536066083487218
2297,895,FALSE,672,36,171,2,0,0,0,0.0806026693540348,0.596250264256379
2298,441,FALSE,882,184,120,10,0,0,0,0.0870360889196701,0.591726192844171
2299,258,FALSE,161,102,156,8,0,0,0,0.075544822492641,0.621204999122533
2300,485,FALSE,512,104,114,7,0,0,0,0.0834832761573292,0.588523494645175
2301,1724,FALSE,15,42,12,24,0,0,2,0.0879117231603782,0.653542596958643
2302,337,FALSE,850,48,67,179,0,0,0,0.0778694720462024,0.359540996038522
2303,211,FALSE,532,59,31,130,0,0,0,0.0735251879250377,0.50892998139908
2304,1695,FALSE,853,128,95,105,0,0,0,0.0981820072195597,0.400862088913329
2305,354,FALSE,398,192,162,193,0,0,0,0.0915614273420841,0.55766348223304
2306,1622,FALSE,5,1,42,106,0,0,0,0.0846255763134779,0.665680920264347
2307,1734,FALSE,242,190,108,101,3,3,12,0.0831707975044816,0.756042919251304
2308,97,FALSE,218,128,95,105,0,0,0,0.0990743318918274,0.61760116036583
2309,1798,FALSE,855,132,40,62,0,0,0,0.0834832761573292,0.431420433013934
2310,1944,TRUE,453,100,54,104,8,16,89,0.0764811509180616,0.952717164741428
2311,1503,FALSE,918,124,52,143,0,0,0,0.081218710728283,0.430012092123233
2312,24,FALSE,526,147,148,87,0,0,0,0.0892225484062927,0.516345762670066
2313,1426,FALSE,124,96,135,156,0,0,0,0.0797518713010056,0.625777849065781
2314,727,FALSE,297,109,73,36,0,0,0,0.0828973411524041,0.441846699347121
2315,658,FALSE,228,116,57,98,0,0,0,0.0882029847950071,0.597442712922371
2316,869,FALSE,347,2,142,147,0,0,2,0.0863896767369111,0.478375120456267
2317,1430,FALSE,475,60,87,92,0,0,0,0.0809785165152652,0.698570206047137
2318,1206,FALSE,611,50,56,23,0,0,0,0.0954706870753404,0.647531678045978
2319,713,FALSE,459,158,20,150,0,0,0,0.081218710728283,0.568583845515472
2320,1923,TRUE,367,112,159,67,2,23,94,0.08394246057689,0.986086623104687
2321,1803,FALSE,476,86,116,31,0,2,2,0.0746152698418388,0.589057099194401
2322,535,FALSE,604,6,64,138,0,0,0,0.0838818444748071,0.432628969284127
2323,1311,FALSE,628,15,112,184,0,0,4,0.0764998315369362,0.515400978479968
2324,1853,FALSE,145,86,116,31,0,0,2,0.082418758283463,0.635542106088478
2325,1372,FALSE,646,60,87,92,0,0,0,0.0799070400496662,0.671516954148088
2326,1611,FALSE,425,186,16,70,0,0,0,0.0966015944740857,0.538814040793777
2327,895,FALSE,672,36,171,2,0,0,0,0.0774871570371913,0.455910801547118
2328,442,FALSE,421,103,1,53,0,0,0,0.0798084755565361,0.739921246560771
2329,82,FALSE,228,116,57,98,0,0,0,0.0902986466755425,0.421796013796116
2330,1446,FALSE,512,104,114,7,0,0,0,0.0871468406710222,0.529247842186238
